T,D,S,phi_cvar,l_tds
0,1,S_R_1,0.014976399971055798,0.0149763999710558
0,1,EVT_1,0.00866591955767939,0.00866591955767939
0,1,EVT_2,-0.0,0.0
0,1,EVT_3,-0.0,0.0
0,1,EVT_4,-0.0,0.0
0,1,EVT_5,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_6,-0.0,0.0
0,1,EVT_7,-5.820766091346741e-12,-5.820766091346741e-12
0,1,EVT_8,-0.0,0.0
0,1,EVT_9,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_10,0.029952797008445487,0.02995279700844552
0,1,EVT_11,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_12,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_13,-0.0,0.0
0,1,EVT_14,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_15,-0.0,0.0
0,1,EVT_16,-1.7462298967929613e-11,-1.7462298274040225e-11
0,1,EVT_17,-2.3283064712331658e-11,-2.3283064365386964e-11
0,1,EVT_18,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_19,-0.0,0.0
0,1,EVT_20,-0.0,0.0
0,1,EVT_21,-0.0,0.0
0,1,EVT_22,0.014976398504222744,0.014976398504222764
0,1,EVT_23,0.0888299159216694,0.0888299159216694
0,1,EVT_24,-0.0,0.0
0,1,EVT_25,0.1877093998395134,0.1877093998395134
0,1,EVT_26,-1.7462298274040225e-11,-1.7462298274040225e-11
0,1,EVT_27,-0.0,0.0
0,1,EVT_28,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_29,-0.0,0.0
0,1,EVT_30,-5.8207674791255215e-12,-5.820766091346741e-12
0,1,EVT_31,0.09407169486512432,0.09407169486512432
0,1,EVT_32,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_33,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_34,-0.0,0.0
0,1,EVT_35,-0.0,0.0
0,1,EVT_36,-0.0,0.0
0,1,EVT_37,0.011694900001748467,0.011694900001748467
0,1,EVT_38,0.0059435992559883745,0.005943599255988373
0,1,EVT_39,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_40,-0.0,0.0
0,1,EVT_41,-2.3283064365386964e-11,-2.3283064365386964e-11
0,1,EVT_42,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_43,-0.0,0.0
0,1,EVT_44,-2.3283066447055134e-11,-2.3283064365386964e-11
0,1,EVT_45,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_46,-0.0,0.0
0,1,EVT_47,-0.0,0.0
0,1,EVT_48,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,EVT_49,-0.0,0.0
0,1,EVT_50,-1.1641532356165829e-11,-1.1641532182693482e-11
0,1,EVT_51,-0.0,0.0
0,1,EVT_52,-0.0,0.0
