state,rel_inv,island,H,soc_aux
state_61,7,0,26,0.0
state_61,8,0,26,0.0
state_61,9,0,26,0.10110240000067305
state_61,10,0,26,0.0
state_61,11,0,26,0.0
state_61,12,0,26,0.0
state_61,13,0,26,0.0
state_61,14,0,26,0.0
state_61,15,0,26,0.0
state_62,0,0,2,0.0
state_62,0,0,26,0.0
state_62,1,0,2,0.0
state_62,1,0,26,0.0
state_63,0,0,26,0.0
state_63,1,0,26,0.0
state_64,0,0,2,0.0
state_64,0,0,26,0.0
state_64,1,0,2,0.0
state_64,1,0,26,0.0
state_64,2,0,2,0.0
state_64,2,0,26,0.0
state_64,3,0,2,0.0
state_64,3,0,26,0.0
state_64,4,0,2,0.0
state_64,4,0,26,0.0
state_64,5,0,2,0.0
state_64,5,0,26,0.0
state_64,6,0,2,0.0
state_64,6,0,26,0.0
state_64,7,0,2,0.0
state_64,7,0,26,0.0
state_65,0,1,19,0.0
state_65,0,1,20,0.0
state_65,1,1,19,0.0
state_65,1,1,20,0.0
state_65,2,1,19,0.0
state_65,2,1,20,0.0
state_65,3,1,19,0.0
state_65,3,1,20,0.0
state_65,4,1,19,0.0
state_65,4,1,20,0.0
state_65,5,1,19,0.0
state_65,5,1,20,0.0
state_65,6,1,19,0.0
state_65,6,1,20,0.0
state_65,7,1,19,0.0
state_65,7,1,20,0.0
state_65,8,1,19,0.0
state_65,8,1,20,0.0
state_65,9,1,19,0.0
state_65,9,1,20,0.0
state_65,10,1,19,0.0
state_65,10,1,20,0.0
state_65,11,1,19,0.0
state_65,11,1,20,0.0
state_65,12,1,19,0.0
state_65,12,1,20,0.0
state_65,13,1,19,0.0
state_65,13,1,20,0.0
state_65,14,1,19,0.0
state_65,14,1,20,0.0
state_65,15,1,19,0.0
state_65,15,1,20,0.0
state_65,16,1,19,0.0
state_65,16,1,20,0.09745750001457054
state_65,17,1,19,0.0
state_65,17,1,20,0.0
state_65,18,1,19,0.0
state_65,18,1,20,0.0
state_65,19,1,19,0.0
state_65,19,1,20,0.0
state_65,20,1,19,0.0
state_65,20,1,20,0.0
state_65,21,1,19,0.0
state_65,21,1,20,0.0
state_65,22,1,19,0.0
state_65,22,1,20,0.0
state_65,23,1,19,0.0
state_65,23,1,20,0.0
state_65,24,1,19,0.0
state_65,24,1,20,0.0
state_65,25,1,19,0.0
state_65,25,1,20,0.0
state_65,26,1,19,0.0
state_65,26,1,20,0.0
state_65,27,1,19,0.0
state_65,27,1,20,0.0
state_65,28,1,19,0.0
state_65,28,1,20,0.0
state_65,29,1,19,0.0
state_65,29,1,20,0.0
state_65,30,1,19,0.0
state_65,30,1,20,0.0
state_65,31,1,19,0.0
state_65,31,1,20,0.0
state_65,32,0,19,0.0
state_65,32,0,20,0.0
state_65,33,0,19,0.0
state_65,33,0,20,0.0
state_65,34,0,19,0.0
state_65,34,0,20,0.0
state_65,35,0,19,0.0
state_65,35,0,20,0.0
state_65,36,0,19,0.0
state_65,36,0,20,0.0
