N,T,D,v
5,6,0,0.9591205882124428
5,6,1,1.0236858578736767
5,6,2,1.0175980106185325
5,6,3,0.9563497528828968
5,7,0,0.9591205882124428
5,7,1,1.0236858578736767
5,7,2,1.0175980106185325
5,7,3,0.9563497528828968
5,8,0,0.9591205882124428
5,8,1,1.0236858578736767
5,8,2,1.0175980106185325
5,8,3,0.9563497528828968
5,9,0,0.9654082832371985
5,9,1,0.9620086756535496
5,9,2,0.9938453854116637
5,9,3,1.0060210799219516
5,10,0,0.9732329046892081
5,10,1,1.0175980106185325
5,10,2,1.0115101633633885
5,10,3,0.9591205882124428
5,11,0,0.9732329046892081
5,11,1,1.0175980106185325
5,11,2,1.0115101633633885
5,11,3,0.9591205882124428
5,12,0,0.9732329046892081
5,12,1,1.0175980106185325
5,12,2,1.0115101633633885
5,12,3,0.9591205882124428
5,13,0,0.9724191564626048
5,13,1,0.9613358151444148
5,13,2,0.964106650473963
5,13,3,1.0142715668914097
5,14,0,0.9757456001897272
5,14,1,0.9646622588715378
5,14,2,0.9674330942010856
5,14,3,0.9621495633710188
5,15,0,0.9757456001897272
5,15,1,0.9646622588715378
5,15,2,0.9674330942010856
5,15,3,0.9621495633710188
5,16,0,0.9757456001897272
5,16,1,0.9646622588715378
5,16,2,0.9674330942010856
5,16,3,0.9621495633710188
5,17,0,0.9757456001897272
5,17,1,0.9646622588715378
5,17,2,0.9674330942010856
5,17,3,0.9621495633710188
5,18,0,1.0370074579975883
5,18,1,0.9813008709210466
5,18,2,0.9840717062505936
5,18,3,1.042037443550238
5,19,0,1.0175980106185325
5,19,1,1.0175980106185325
5,19,2,1.0115101633633885
5,19,3,0.9591205882124428
5,20,0,1.0273932804067547
5,20,1,0.9655988460750686
5,20,2,0.962828010745521
5,20,3,1.0276284744732025
5,21,0,0.9591205882124428
5,21,1,1.0175980106185325
5,21,2,0.9591205882124428
5,21,3,0.9591205882124428
5,22,0,0.9600571754159749
5,22,1,0.9600571754159749
5,22,2,0.9600571754159749
5,22,3,1.0337163217283463
5,23,0,0.9600571754159749
5,23,1,0.9600571754159749
5,23,2,0.9600571754159749
5,23,3,1.0337163217283463
6,0,0,1.0360461236529928
6,0,1,1.0360461236529928
6,0,2,1.0360461236529928
6,0,3,1.0360461236529928
6,1,0,1.0360461236529928
6,1,1,1.0360461236529928
6,1,2,1.0360461236529928
6,1,3,1.0360461236529928
6,2,0,1.0360461236529928
6,2,1,1.0360461236529928
6,2,2,1.0360461236529928
6,2,3,1.0360461236529928
6,3,0,1.0360461236529928
6,3,1,1.0360461236529928
6,3,2,1.0360461236529928
6,3,3,1.0360461236529928
6,4,0,1.0360461236529928
6,4,1,1.0360461236529928
6,4,2,1.0360461236529928
6,4,3,1.0360461236529928
6,5,0,1.0164728095729862
6,5,1,0.9568216869036834
6,5,2,0.9576348045195957
6,5,3,1.0225974411081304
6,6,0,0.9589734510924428
6,6,1,1.0235387207536768
6,6,2,1.0174140892185326
6,6,3,0.9562394000428968
6,7,0,0.9589734510924428
6,7,1,1.0235387207536768
6,7,2,1.0174140892185326
6,7,3,0.9562394000428968
6,8,0,0.9589734510924428
6,8,1,1.0235387207536768
6,8,2,1.0174140892185326
6,8,3,0.9562394000428968
6,9,0,0.9650772247171985
