L_e,T,D,f_l
3,11,0,0.12681260000003738
3,11,1,0.07294780000003738
3,11,2,0.08641400000003738
3,11,3,0.059481600000037396
3,12,0,0.12681260000003738
3,12,1,0.07294780000003738
3,12,2,0.08641400000003738
3,12,3,0.059481600000037396
3,13,0,0.15038904000010467
3,13,1,0.0965242400001047
3,13,2,0.1099904400001047
3,13,3,0.08305804000010468
3,14,0,0.14027880000003737
3,14,1,0.08641400000003738
3,14,2,0.0998802000000374
3,14,3,0.07294780000003738
3,15,0,0.14027880000003737
3,15,1,0.08641400000003738
3,15,2,0.0998802000000374
3,15,3,0.07294780000003738
3,16,0,0.14027880000003737
3,16,1,0.08641400000003738
3,16,2,0.0998802000000374
3,16,3,0.07294780000003738
3,17,0,0.14027880000003737
3,17,1,0.08641400000003738
3,17,2,0.0998802000000374
3,17,3,0.07294780000003738
3,18,0,0.017403888888556502
3,18,1,0.017403888888556502
3,18,2,0.03087008888855651
3,18,3,0.003937688888554771
3,19,0,0.07294780000003738
3,19,1,0.07294780000003738
3,19,2,0.08641400000003738
3,19,3,0.059481600000037396
3,20,0,0.04887208888885565
3,20,1,0.062338288888855634
3,20,2,0.04887208888885565
3,20,3,0.04887208888885565
3,21,0,0.059481600000037396
3,21,1,0.07294780000003738
3,21,2,0.059481600000037396
3,21,3,0.059481600000037396
3,22,0,0.035405888888855645
3,22,1,0.035405888888855645
3,22,2,0.035405888888855645
3,22,3,0.035405888888855645
3,23,0,0.035405888888855645
3,23,1,0.035405888888855645
3,23,2,0.035405888888855645
3,23,3,0.035405888888855645
4,0,0,-0.036562400000037396
4,0,1,-0.036562400000037396
4,0,2,-0.036562400000037396
4,0,3,-0.036562400000037396
4,1,0,-0.036562400000037396
4,1,1,-0.036562400000037396
4,1,2,-0.036562400000037396
4,1,3,-0.036562400000037396
4,2,0,-0.036562400000037396
4,2,1,-0.036562400000037396
4,2,2,-0.036562400000037396
4,2,3,-0.036562400000037396
4,3,0,-0.036562400000037396
